方藥,治療方法,月經量,,,經血顏色,,,,,,經血質地,,,,經痛,,,,,,,,,,,,,,,,經期,白帶,,,,,,,面色,,,,,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,少,正常,多,淺,正常,鮮紅,深紅,紫紅,深紫,稀,正常,黏稠,有血塊,無,經前,經期間,經後,絞痛,長期隱隱痛,冷痛,灼痛,用溫暖的東西敷肚會改善,按壓會改善,按之痛甚,血塊下後痛減,有固定痛點，如針刺狀,脹痛連及腹側,有下墜感,腹部有包塊，而此包塊推之可移，按之可散,月經來得不暢,量多,色透明,色黃或帶有血絲,質地稀,有臭味,陰部痕癢,陰部反覆感染,黯淡無光,臉頰通紅,偏黃,蒼白,青白,腰酸腿軟,周身痛,眼花,眼睛通紅且痛,聽覺較弱,耳鳴,頭暈,頭痛,口又苦又乾,口乾,精神不振,精神差,情緒波動大,經常嘆氣,身體發熱，比較傾向喝冷飲,怕冷,手腳冰冷,胸部、腹側或乳房脹痛,胸悶,心胸煩熱,自覺心臟不正常跳動,不夠氣,胃氣多,胃口不佳,腹脹,腹瀉,口淡味寡,大便硬,便秘,大便不成形,小便色黃,尿頻,尿多而頻,夜尿多,水腫,性慾減退,四肢麻痹、發抖,四肢無力,睡眠不足，發夢多,掌心熱,容易疲倦,身形較肥胖,容易受驚,健忘,指甲無血色,唇色淡,皮膚容易乾燥,口乾不欲飲,夜間出汗,身體長期低熱,黃昏後發熱
大補元煎,補腎益氣,T,,,T,,,,,,T,,,,,,T,T,,T,,,,T,,,,,,,,,,,,,,,T,,,,,T,,,,,,T,,,,T,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,
左歸丸,滋腎益陰,T,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,T,,,,,,T,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,T,,
烏藥湯,疏肝解鬱,,,,,,,T,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,T,T,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
歸脾湯,健脾氣,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,,,,,,,,,,,T,,,,,,,,,,,,,
完帶湯,健脾利濕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,T,T,,,,T,T,,T,T,,,,,,,,,,T,,,,,,T,T,,,,,,,,,
四物湯,養血柔肝,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,T,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,T,,T,,T,T,,,,,,,
舉元煎,補氣,,,T,,,,,,,T,,,,,,,,,,,,,,,,,,T,,,T,,,,,,,,,,T,,,,T,,,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,
烏藥湯,行氣,,,,,,,,,,,,,,,T,T,,,,,,,,,,,T,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人參養榮湯,補血養血,T,,,T,,,,,,T,,,,,,T,T,,T,,,,T,,,,,,,,,,,,,,,,,T,T,,,,T,,,,T,,,,T,T,,,,,,,,,T,,,,,,,,,,,,,,,,T,T,T,,T,,,,T,T,T,,,,
桃紅四物湯,活血化瘀,,,,,,,,T,T,,,,T,,T,T,,,,,,,,T,T,T,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,,,
清經散,清熱涼血,,,T,,,,,T,,,,T,T,,T,T,,,,,T,,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,T,,,,,T,,,,T,,,,,,,,,,T,,T,,,,,,,,,,,,,,,,,,,,
固經丸,益陰涼血,T,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,T,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,T,T,T
溫經湯 + 右歸丸,溫經扶陽,T,,,T,,,,,,,,,,,,,,T,,T,,T,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溫經湯,溫經散寒,T,,,,,T,,T,T,,,,T,,T,T,,,T,T,,T,T,,,,,,,,,,,,,,,,,,,,T,,,,,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,